"Scenario","variable","Resistance","ESLab","Scen_lab","Scen_lab2"
"Scenario 9","Timber_M",0.458053291060619,"Timber volume",40,"Pulse + Press"
"Scenario 9","Nitrogen_stock_M",1,"Nitrogen stock",40,"Pulse + Press"
"Scenario 9","Carbon_stock_M",0.81665511192805,"Carbon stock",40,"Pulse + Press"
"Scenario 9","Fungi_val_M",0.609401366677421,"Commercially valuable 
fungi richness",40,"Pulse + Press"
"Scenario 9","Recreation_M",0.86584762798743,"Recreation value",40,"Pulse + Press"
"Scenario 9","Aesthetic_M",0.935560403017099,"Aesthetic value",40,"Pulse + Press"
"Scenario 9","Lichen_M",0.894205232646473,"Lichen species 
richness",40,"Pulse + Press"
"Scenario 9","GF_M",1,"Ground flora 
species richness",40,"Pulse + Press"
"Scenario 9","Fungi_M",0.867424582998178,"Fungi species richness",40,"Pulse + Press"
"Scenario 9","Min_rate_M",1,"Nitrogen mineralistation 
rate",40,"Pulse + Press"
"Scenario 9","SRR_M",0.929448866969422,"Soil respiration rate",40,"Pulse + Press"
"Scenario 9","AGB_M",0.565164740029096,"Aboveground biomass",40,"Pulse + Press"
"Scenario 8","Timber_M",0.762066122426967,"Timber volume",20,"Pulse + Press"
"Scenario 8","Nitrogen_stock_M",1,"Nitrogen stock",20,"Pulse + Press"
"Scenario 8","Carbon_stock_M",0.941610126913161,"Carbon stock",20,"Pulse + Press"
"Scenario 8","Fungi_val_M",0.84252769010675,"Commercially valuable 
fungi richness",20,"Pulse + Press"
"Scenario 8","Recreation_M",0.957481525772395,"Recreation value",20,"Pulse + Press"
"Scenario 8","Aesthetic_M",0.979126634167911,"Aesthetic value",20,"Pulse + Press"
"Scenario 8","Lichen_M",0.968528198823973,"Lichen species 
richness",20,"Pulse + Press"
"Scenario 8","GF_M",1,"Ground flora 
species richness",20,"Pulse + Press"
"Scenario 8","Fungi_M",0.957479515109734,"Fungi species richness",20,"Pulse + Press"
"Scenario 8","Min_rate_M",1,"Nitrogen mineralistation 
rate",20,"Pulse + Press"
"Scenario 8","SRR_M",0.976174820628548,"Soil respiration rate",20,"Pulse + Press"
"Scenario 8","AGB_M",0.832976878591516,"Aboveground biomass",20,"Pulse + Press"
"Scenario 7","Timber_M",1,"Timber volume",0,"Press"
"Scenario 7","Nitrogen_stock_M",1,"Nitrogen stock",0,"Press"
"Scenario 7","Carbon_stock_M",1,"Carbon stock",0,"Press"
"Scenario 7","Fungi_val_M",1,"Commercially valuable 
fungi richness",0,"Press"
"Scenario 7","Recreation_M",1,"Recreation value",0,"Press"
