"Scenario","Replicate","Variable","Time","Resistance","Resistance2","Recovery","value","variable","ESLab","Scen_lab","Scen_lab2"
"Scenario 10",1,"Min_rate_M",100,1,1,0.00679439543375392,19.8077482933912,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse + Press"
"Scenario 11",1,"Min_rate_M",100,1,1,0.00394434703298107,21.211167040325,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse + Press"
"Scenario 12",1,"Min_rate_M",100,1,1,0.00248928331598704,22.9853657393242,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse + Press"
"Scenario 2",1,"Min_rate_M",100,1,0.557691656239044,-0.0166025081809281,13.5127422491263,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse"
"Scenario 3",1,"Min_rate_M",100,1,0.639085862880474,-0.0581318185328588,14.7159514263939,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse"
"Scenario 4",1,"Min_rate_M",100,1,0.717641328267262,0.0615125544370846,15.7690597847116,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse"
"Scenario 5",1,"Min_rate_M",100,1,0.775564425769294,0.0279792762473701,16.4858857057267,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse"
"Scenario 6",1,"Min_rate_M",100,1,0.878858044593943,0.0152299653534429,17.6545073578779,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse"
"Scenario 7",1,"Min_rate_M",100,0.960099915698136,0.597240745566798,-0.0089537431271759,14.1126927953751,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse + Press"
"Scenario 8",1,"Min_rate_M",100,1,0.696324975353069,-0.0164213837330452,15.4929370259348,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse + Press"
"Scenario 9",1,"Min_rate_M",100,1,0.907466054847918,0.0207473756790689,17.9557855562584,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse + Press"
"Scenario 1",2,"Min_rate_M",100,1,0.502606775332415,-0.00930663055328816,12.6244897911719,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse"
"Scenario 10",2,"Min_rate_M",100,1,1,0.00819141283244722,19.3750306429219,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse + Press"
"Scenario 11",2,"Min_rate_M",100,1,1,0.00378802621890559,21.339321813671,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse + Press"
"Scenario 12",2,"Min_rate_M",100,1,1,0.00249883581447288,22.9773408510895,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse + Press"
"Scenario 2",2,"Min_rate_M",100,1,0.561687919875189,-0.0160747192330333,13.5747447527144,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse"
"Scenario 3",2,"Min_rate_M",100,1,0.587883324364798,-0.0247430275638736,13.9734418828691,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse"
"Scenario 4",2,"Min_rate_M",100,1,0.675869546426127,1.09154915514661,15.2213617905593,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse"
"Scenario 5",2,"Min_rate_M",100,1,0.7697824674726,0.0290162548081479,16.4164393483596,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse"
"Scenario 6",2,"Min_rate_M",100,1,0.878077490481605,0.0152700812800536,17.6461585132387,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse"
"Scenario 7",2,"Min_rate_M",100,0.96009657644063,0.597594222911694,-0.00895201840061549,14.1179210359325,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse + Press"
"Scenario 8",2,"Min_rate_M",100,1,0.735557860029654,-0.0279476835587992,15.9958964245546,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse + Press"
"Scenario 9",2,"Min_rate_M",100,1,0.840141953987232,0.0586304777310376,17.2318610870592,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse + Press"
"Scenario 1",3,"Min_rate_M",100,1,0.503061080379122,-0.00930607896382309,12.632081795176,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse"
"Scenario 10",3,"Min_rate_M",100,1,1,0.0057714941064244,20.0814416318445,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse + Press"
"Scenario 11",3,"Min_rate_M",100,1,1,0.00381299733797962,21.2905185417233,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse + Press"
"Scenario 12",3,"Min_rate_M",100,1,1,0.00247426683195647,22.9976636513487,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse + Press"
"Scenario 2",3,"Min_rate_M",100,1,0.573392311531865,-0.0185531477314608,13.7545276648266,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse"
"Scenario 3",3,"Min_rate_M",100,1,0.625141330537614,-0.0451023859545934,14.5183718938948,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse"
"Scenario 4",3,"Min_rate_M",100,1,0.717979403940094,0.0705364970614955,15.7733838707468,"Min_rate_M","Nitrogen mineralisation 
rate",60,"Pulse"
"Scenario 5",3,"Min_rate_M",100,1,0.760522215645346,0.0299025087776393,16.3042653400947,"Min_rate_M","Nitrogen mineralisation 
rate",80,"Pulse"
"Scenario 6",3,"Min_rate_M",100,1,0.879942898549931,0.0151755666255927,17.6660994944655,"Min_rate_M","Nitrogen mineralisation 
rate",100,"Pulse"
"Scenario 7",3,"Min_rate_M",100,0.960123342562379,0.597096856751032,-0.00895526528505903,14.1105638905695,"Min_rate_M","Nitrogen mineralisation 
rate",0,"Pulse + Press"
"Scenario 8",3,"Min_rate_M",100,1,0.683918740839874,-0.0148915797520555,15.3290137445533,"Min_rate_M","Nitrogen mineralisation 
rate",20,"Pulse + Press"
"Scenario 9",3,"Min_rate_M",100,1,0.899633011280682,0.0225661017553882,17.8741959465706,"Min_rate_M","Nitrogen mineralisation 
rate",40,"Pulse + Press"
"Scenario 1",1,"Fungi_M",100,1,1,-0.00910353455867029,13.313193615331,"Fungi_M","Fungi species richness",0,"Pulse"
"Scenario 10",1,"Fungi_M",100,0.570953759748374,0.9021276968423,0.00718879930980218,9.61843270217256,"Fungi_M","Fungi species richness",60,"Pulse + Press"
"Scenario 11",1,"Fungi_M",100,0.506056237163251,0.751686399912094,0.00417295394163476,8.70274579462055,"Fungi_M","Fungi species richness",80,"Pulse + Press"
"Scenario 12",1,"Fungi_M",100,0.395028425920899,0.588994001029178,0.00266083852815089,7.5173466471762,"Fungi_M","Fungi species richness",100,"Pulse + Press"
"Scenario 2",1,"Fungi_M",100,0.872276833855996,1,-0.0173392846851116,12.9694778364271,"Fungi_M","Fungi species richness",20,"Pulse"
"Scenario 3",1,"Fungi_M",100,0.703310860509961,1,-0.0797097968157058,12.443917567304,"Fungi_M","Fungi species richness",40,"Pulse"
"Scenario 4",1,"Fungi_M",100,0.567245500362361,1,0.0477310056377264,11.9283113822297,"Fungi_M","Fungi species richness",60,"Pulse"
"Scenario 5",1,"Fungi_M",100,0.495309536885783,1,0.02496670502396,11.5326251881326,"Fungi_M","Fungi species richness",80,"Pulse"
"Scenario 6",1,"Fungi_M",100,0.395022747465958,1,0.0149850173012929,10.9087491959745,"Fungi_M","Fungi species richness",100,"Pulse"
"Scenario 7",1,"Fungi_M",100,1,1,-0.00875011643341442,12.6382400858409,"Fungi_M","Fungi species richness",0,"Pulse + Press"
"Scenario 8",1,"Fungi_M",100,0.918394286657757,1,-0.016984589048906,11.9776438078656,"Fungi_M","Fungi species richness",20,"Pulse + Press"
"Scenario 9",1,"Fungi_M",100,0.711341085520003,1,0.0214625752351323,10.7249286772096,"Fungi_M","Fungi species richness",40,"Pulse + Press"
"Scenario 1",2,"Fungi_M",100,1,1,-0.0091022512060125,13.3132934146809,"Fungi_M","Fungi species richness",0,"Pulse"
"Scenario 10",2,"Fungi_M",100,0.597869605221312,0.953896808111834,0.00872168093024066,9.90092419917316,"Fungi_M","Fungi species richness",60,"Pulse + Press"
"Scenario 11",2,"Fungi_M",100,0.498362096310026,0.737437520328855,0.00397885662323543,8.60779663490654,"Fungi_M","Fungi species richness",80,"Pulse + Press"
"Scenario 12",2,"Fungi_M",100,0.395041853773434,0.589690720733576,0.00267119765466071,7.52294034703771,"Fungi_M","Fungi species richness",100,"Pulse + Press"
"Scenario 2",2,"Fungi_M",100,0.881613920306601,1,-0.0167594264555765,12.9330333134627,"Fungi_M","Fungi species richness",20,"Pulse"
"Scenario 3",2,"Fungi_M",100,0.788273768981732,1,-0.0283798699213662,12.7564452648336,"Fungi_M","Fungi species richness",40,"Pulse"
"Scenario 4",2,"Fungi_M",100,0.625977300070084,1,0.179001215844864,12.2136312821207,"Fungi_M","Fungi species richness",60,"Pulse"
"Scenario 5",2,"Fungi_M",100,0.497798057949012,1,0.0260685611253675,11.584178336645,"Fungi_M","Fungi species richness",80,"Pulse"
"Scenario 6",2,"Fungi_M",100,0.395066909760075,1,0.0150322479456154,10.9153740755396,"Fungi_M","Fungi species richness",100,"Pulse"
"Scenario 7",2,"Fungi_M",100,1,1,-0.00874730841093673,12.6344841426235,"Fungi_M","Fungi species richness",0,"Pulse + Press"
"Scenario 8",2,"Fungi_M",100,0.864294949969781,1,-0.028021583606391,11.7665126024525,"Fungi_M","Fungi species richness",20,"Pulse + Press"
"Scenario 9",2,"Fungi_M",100,0.756777621565475,1,0.0638261498355288,11.1465698501565,"Fungi_M","Fungi species richness",40,"Pulse + Press"
"Scenario 1",3,"Fungi_M",100,1,1,-0.00910231364609867,13.3107203717503,"Fungi_M","Fungi species richness",0,"Pulse"
"Scenario 10",3,"Fungi_M",100,0.588048123209118,0.866571142025696,0.00597825197285229,9.41533200175295,"Fungi_M","Fungi species richness",60,"Pulse + Press"
"Scenario 11",3,"Fungi_M",100,0.503589812977274,0.743545828993013,0.00403776024601969,8.64869014359334,"Fungi_M","Fungi species richness",80,"Pulse + Press"
"Scenario 12",3,"Fungi_M",100,0.395044793511957,0.587987467809732,0.0026454686478506,7.50925690374623,"Fungi_M","Fungi species richness",100,"Pulse + Press"
"Scenario 2",3,"Fungi_M",100,0.852127331382321,1,-0.0194535148352505,12.858985416298,"Fungi_M","Fungi species richness",20,"Pulse"
"Scenario 3",3,"Fungi_M",100,0.720690701172437,1,-0.0561079834106201,12.5464117567418,"Fungi_M","Fungi species richness",40,"Pulse"
"Scenario 4",3,"Fungi_M",100,0.583527071151478,1,0.050661313009446,11.889497439426,"Fungi_M","Fungi species richness",60,"Pulse"
"Scenario 5",3,"Fungi_M",100,0.488527101391731,1,0.0266257344537797,11.6500560471369,"Fungi_M","Fungi species richness",80,"Pulse"
"Scenario 6",3,"Fungi_M",100,0.395047383845073,1,0.014954890001189,10.9044139844777,"Fungi_M","Fungi species richness",100,"Pulse"
"Scenario 7",3,"Fungi_M",100,1,1,-0.00875112558401037,12.6387778573418,"Fungi_M","Fungi species richness",0,"Pulse + Press"
"Scenario 8",3,"Fungi_M",100,0.935716230063158,1,-0.014958679122581,12.0764075782913,"Fungi_M","Fungi species richness",20,"Pulse + Press"
"Scenario 9",3,"Fungi_M",100,0.718092218983847,1,0.0244586227181994,10.8027825805491,"Fungi_M","Fungi species richness",40,"Pulse + Press"
"Scenario 1",1,"GF_M",100,1,0.460655150291601,-0.00899781700316458,7.37760787206638,"GF_M","Ground flora 
species richness",0,"Pulse"
"Scenario 10",1,"GF_M",100,1,1,0.00747664908208502,12.4366343210589,"GF_M","Ground flora 
species richness",60,"Pulse + Press"
"Scenario 11",1,"GF_M",100,1,1,0.00440010388620573,13.9396216234075,"GF_M","Ground flora 
species richness",80,"Pulse + Press"
"Scenario 12",1,"GF_M",100,1,1,0.00310451035623492,15.9632927065302,"GF_M","Ground flora 
species richness",100,"Pulse + Press"
"Scenario 2",1,"GF_M",100,1,0.503738363261666,-0.0177078944983567,7.83646284346556,"GF_M","Ground flora 
species richness",20,"Pulse"
"Scenario 3",1,"GF_M",100,1,0.573263836409144,-0.121177608353709,8.52393869108586,"GF_M","Ground flora 
species richness",40,"Pulse"
"Scenario 4",1,"GF_M",100,1,0.647961023184171,0.037540505407528,9.19791259595787,"GF_M","Ground flora 
species richness",60,"Pulse"
"Scenario 5",1,"GF_M",100,1,0.712919449872955,0.0214992960774952,9.73623065908926,"GF_M","Ground flora 
species richness",80,"Pulse"
"Scenario 6",1,"GF_M",100,1,0.823995131137108,0.0140686072687785,10.5678904442301,"GF_M","Ground flora 
species richness",100,"Pulse"
"Scenario 7",1,"GF_M",100,0.94376698714375,0.545809446465873,-0.00863925152742359,8.25985498114955,"GF_M","Ground flora 
species richness",0,"Pulse + Press"
"Scenario 8",1,"GF_M",100,1,0.641576180448183,-0.0175087381532683,9.14270109438326,"GF_M","Ground flora 
species richness",20,"Pulse + Press"
"Scenario 9",1,"GF_M",100,1,0.865330029214058,0.0211276487490103,10.8520909497593,"GF_M","Ground flora 
species richness",40,"Pulse + Press"
"Scenario 1",2,"GF_M",100,1,0.460631261421098,-0.00899646196618104,7.37734593638557,"GF_M","Ground flora 
species richness",0,"Pulse"
"Scenario 10",2,"GF_M",100,1,1,0.00910607341119597,11.9826297137401,"GF_M","Ground flora 
species richness",60,"Pulse + Press"
"Scenario 11",2,"GF_M",100,1,1,0.00420673818327373,14.0955242885135,"GF_M","Ground flora 
species richness",80,"Pulse + Press"
"Scenario 12",2,"GF_M",100,1,1,0.00311639496054279,15.9525886855937,"GF_M","Ground flora 
species richness",100,"Pulse + Press"
"Scenario 2",2,"GF_M",100,1,0.508069002505641,-0.017101835782385,7.88113591828929,"GF_M","Ground flora 
species richness",20,"Pulse"
"Scenario 3",2,"GF_M",100,1,0.530538419048067,-0.0317460390473188,8.10886247417061,"GF_M","Ground flora 
species richness",40,"Pulse"
"Scenario 4",2,"GF_M",100,1,0.60506613545333,0.101100299534448,8.81855131819795,"GF_M","Ground flora 
species richness",60,"Pulse"
"Scenario 5",2,"GF_M",100,1,0.703272819522444,0.0225965889429936,9.65888395506461,"GF_M","Ground flora 
species richness",80,"Pulse"
"Scenario 6",2,"GF_M",100,1,0.822486733874252,0.0141081901813908,10.5572755659922,"GF_M","Ground flora 
species richness",100,"Pulse"
"Scenario 7",2,"GF_M",100,0.943749656415265,0.546281963123877,-0.00863639167924674,8.2644794281687,"GF_M","Ground flora 
species richness",0,"Pulse + Press"
"Scenario 8",2,"GF_M",100,1,0.676144577547711,-0.0290142124562923,9.43659735175159,"GF_M","Ground flora 
species richness",20,"Pulse + Press"
"Scenario 9",2,"GF_M",100,1,0.78066685072547,0.0633887858778509,10.2558201457587,"GF_M","Ground flora 
species richness",40,"Pulse + Press"
"Scenario 1",3,"GF_M",100,1,0.460960866455472,-0.00899666142875488,7.38095921951689,"GF_M","Ground flora 
species richness",0,"Pulse"
"Scenario 10",3,"GF_M",100,1,1,0.00598216270657072,12.8482304532028,"GF_M","Ground flora 
species richness",60,"Pulse + Press"
"Scenario 11",3,"GF_M",100,1,1,0.00439173509873351,13.9545990135276,"GF_M","Ground flora 
species richness",80,"Pulse + Press"
"Scenario 12",3,"GF_M",100,1,1,0.00309040419116725,15.9756106828932,"GF_M","Ground flora 
species richness",100,"Pulse + Press"
"Scenario 2",3,"GF_M",100,1,0.51835537084903,-0.0202819506653844,7.98622431349898,"GF_M","Ground flora 
species richness",20,"Pulse"
"Scenario 3",3,"GF_M",100,1,0.559277653883459,-0.0674325154821104,8.39056766013436,"GF_M","Ground flora 
species richness",40,"Pulse"
"Scenario 4",3,"GF_M",100,1,0.655745321038331,0.0387796582292208,9.26464953824621,"GF_M","Ground flora 
species richness",60,"Pulse"
"Scenario 5",3,"GF_M",100,1,0.69117546905836,0.0227984472836659,9.56064025569296,"GF_M","Ground flora 
species richness",80,"Pulse"
"Scenario 6",3,"GF_M",100,1,0.824593682676412,0.014053502155185,10.5720977012332,"GF_M","Ground flora 
species richness",100,"Pulse"
"Scenario 7",3,"GF_M",100,0.943781076633995,0.545688176060229,-0.00864028761636969,8.25866767061781,"GF_M","Ground flora 
species richness",0,"Pulse + Press"
"Scenario 8",3,"GF_M",100,1,0.626922266073325,-0.0150827733968268,9.01434599232368,"GF_M","Ground flora 
species richness",20,"Pulse + Press"
"Scenario 9",3,"GF_M",100,1,0.841312376653797,0.0255579906110214,10.6885092429084,"GF_M","Ground flora 
species richness",40,"Pulse + Press"
"Scenario 1",1,"Lichen_M",100,1,1,-0.00855227973657769,36.2984389519647,"Lichen_M","Lichen species 
richness",0,"Pulse"
"Scenario 10",1,"Lichen_M",100,0.799181168374208,0.968841957170207,0.00791203702203817,33.1367975407586,"Lichen_M","Lichen species 
richness",60,"Pulse + Press"
"Scenario 11",1,"Lichen_M",100,0.752801189603175,0.895821749044191,0.00462336340678737,31.8194415182047,"Lichen_M","Lichen species 
richness",80,"Pulse + Press"
"Scenario 12",1,"Lichen_M",100,0.661477343860193,0.804100518063787,0.00320717412758994,30.0135980854294,"Lichen_M","Lichen species 
richness",100,"Pulse + Press"
